username,repo_name,stars,repo_url
phoenixframework,phoenix,17600,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,13000,https://github.com/asdf-vm/asdf
plausible,analytics,10000,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8300,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6100,https://github.com/oldratlee/translations
papercups-io,papercups,4700,https://github.com/papercups-io/papercups
supabase,realtime,4400,https://github.com/supabase/realtime
rrrene,credo,4200,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,3900,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,3800,https://github.com/absinthe-graphql/absinthe
elixirschool,elixirschool,3200,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3200,https://github.com/ueberauth/guardian
rusterlium,rustler,3100,https://github.com/rusterlium/rustler
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
dependabot,dependabot-core,2400,https://github.com/dependabot/dependabot-core
livebook-dev,livebook,2400,https://github.com/livebook-dev/livebook
thechangelog,changelog.com,2400,https://github.com/thechangelog/changelog.com
edgurgel,httpoison,2000,https://github.com/edgurgel/httpoison
quantum-elixir,quantum-core,1900,https://github.com/quantum-elixir/quantum-core
devinus,poison,1900,https://github.com/devinus/poison
nerves-project,nerves,1800,https://github.com/nerves-project/nerves
ockam-network,ockam,1800,https://github.com/ockam-network/ockam
elixirkoans,elixir-koans,1800,https://github.com/elixirkoans/elixir-koans
thoughtbot,bamboo,1800,https://github.com/thoughtbot/bamboo
dashbitco,broadway,1700,https://github.com/dashbitco/broadway
elixir-nx,nx,1700,https://github.com/elixir-nx/nx
thoughtbot,ex_machina,1700,https://github.com/thoughtbot/ex_machina
philss,floki,1700,https://github.com/philss/floki
teamon,tesla,1600,https://github.com/teamon/tesla
