username,repo_name,stars,repo_url
flutter,flutter,134000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,86300,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,59600,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,48300,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,44700,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41900,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41400,https://github.com/square/okhttp
android,architecture-samples,40000,https://github.com/android/architecture-samples
square,retrofit,39300,https://github.com/square/retrofit
Solido,awesome-flutter,38900,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34500,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,33400,https://github.com/fastlane/fastlane
airbnb,lottie-android,32200,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32200,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32100,https://github.com/bumptech/glide
Trinea,android-open-project,30800,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30300,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30000,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29800,https://github.com/bilibili/ijkplayer
zxing,zxing,28900,https://github.com/zxing/zxing
skylot,jadx,28400,https://github.com/skylot/jadx
codepath,android_guides,27600,https://github.com/codepath/android_guides
laurent22,joplin,27500,https://github.com/laurent22/joplin
square,leakcanary,27100,https://github.com/square/leakcanary
alibaba,fastjson,24000,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23200,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22600,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21800,https://github.com/react-native-elements/react-native-elements
google,iosched,21000,https://github.com/google/iosched
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
